"key","message","comment","context"
"Trading","交易模块",,
"User","用户编号",,
"Capital detail","资金明细",,
"Code","编号",,
"Name","名称",,
"Variety","交易对",,
"Currency","币种",,
"Type","借款类型",,
"ApplyAmount","借款金额",,
"Return amount","已还金额",,
"Paid interest","已还利息",,
"Interest rate","利率",,
"Apply time","申请时间",,
"Return status","归还状态",,
"Cd","创建时间",,
"BadLoans","坏账记录",,
"LendingWater","放贷记录",,
"ReturnLeverage","资金归还记录",,
"Apply code","申请编码",,
"Lending","放贷Id",,
"Interest","利息",,
"Time","还款时间",,
"Days","计息天数",,
"Lending subject profit","放贷人盈利金额",,
"Platform profit","平台盈利金额",,
"Capital detail","资金明细id",,
"LendingAmount","放贷金额",,
"Lending time","放贷时间",,
"Lending subject","放贷人类型",,
"Bad","坏账Id",,
"Orders","委托",,
"OrdersCancel","撤单",,
"OrdersDone","成交",,
"OrdersDetail","成交明细",,
"OrdersDetailList","成交订单列表",,

"SummaryDate","日期",,
"Total trade amount","交易总量(BTC)",,
"FeeAmount","交易手续费(BTC)",,
"Total fee amount","可分红总量(BTC)",,
"ProfitEnbaled","状态",,

"Wait for new","等待新建",,
"Newly build","新建",,
"Partial transaction","部分成交",,
"Complete transaction","完全成交",,
"Wait for revocation","等待撤销",,
"Revoke","撤销",,
"Partial transaction and cancellation","部分成交，部分撤销",,
"modify","修改",,
"Stop it","停止",,
"refuse","拒绝",,
"Overdue","过期的",,
"entrustType","委托类型",,
"Frozen","冻结",,
"Usable","可用",,
"Reward","奖励收入",,
"Drop","空投收入",,
"AssetList","资产列表",,
"ordersNumber","成交订单编号",,
"dealPrice","成交价",,
"dealVolume","成交数量",,
"assetWater","资产流水",,
"Fee type","手续费类型",,
"Rewards","奖励",,
"Personal account","个人账户",,
"New Trade","新币币交易模块",,
"coinAccount","资产列表",,
"coinWater","资金流水",,
"newOrders","委托列表",,
"newOrdersDetail","成交列表",,
"balance amount","可用资产",,
"freeze amount","冻结资产",,


"Financial","财务管理",,
"Rates","汇率列表",,
"Foreign currency","外币",,
"Local currency","当地货币",,
"Exchange rate","汇率",,
"AssetTag","资产标签",,
"Create by","创建人",,
"Create on","创建时间",,
"Update by","修改人",,
"Update on","修改时间",,
"Asset tag","资产标签",,
"AssetTag","资产标签",,
"Payment account","支付账户",,
"PaymentAccount","支付账户",,
"paymentAccounts","用户出币账户",,
"Account","支付账户",,
"Channel","支付渠道",,
"In out money","出入金列表",,
"InOutMoney","出入金列表",,
"InMoney","入币记录",,
"OutMoney","出币记录",,
"InAudit","入币审核",,
"OutAudit","出币审核",,
"OutLastAudit","出币终核",,
"User","用户编号",,
"Currency","币种",,
"AssetAmount","金额",,
"Fee","手续费",,
"In out","出入金类型",,
"Status","状态",,
"Payment channel","出入金通道",,
"PaymentChannel","出入金通道",,
"Code","编号",,
"Name","名称",,
"Type","类型",,
"Rank","权重",,
"Enabled","是否启用",,
"Enable","启用",,
"Disable","禁用",,
"Wallet","钱包管理",,
"WalletAddress","钱包地址",,
"Wallet address","钱包地址",,
"Currency address","提币地址",,
"Address","地址",,
"Remark","备注",,
"AssetWater","资金流水",,
"Cause","资产变动原因",,
"Asset Water Checking","是否对账",,
"Checking time","对账时间",,
"Asset","资产账户",,
"Id","订单ID",,
"Entrust time","委托时间",,
"Command","买卖",,
"Price","委托价格",,
"Volume","委托数量",,
"Amount","委托总额",,
"Deal time","成交时间",,
"Deal price","成交价格",,
"Deal volume","成交数量",,
"Deal amount","成交总额",,
"Status","状态",,
"Time","时间",,
"Other","其他",,
"AbnormalOrders","异常订单",,
"AssetDetail","资产详情",,
"Encrypt","加密",,
"Ves","版本",,
"AuditLog","审核日志",,
"Attachment","附件",,
"BtcRate","比特币费率",,
"Actual amount","实际数额",,
"Actual miner fee","实际矿工费",,
"Fee scale","矿工费比例",,
"Miner fee","矿工费",,
"Miner fee currency","矿工费币种",,
"Out status","状态",,
"Out trade no","TXID",,
"Transfer user","操作人",,
"FinancialTransferDetail","提币详情",,
"Receive address","接收地址",,
"Send address","转出地址",,
"StatisticsProfit","分红统计",,
"Abonus amount","分红总量",,
"Profit enbaled","是否分红",,
"Examine enabled","审核状态",,
"Fee amount","交易产生手续费",,
"Trade amount","交易总额",,
"Satisfy positions","持仓是否满足",,
"TradeFlow","交易流水",,
"Ask","卖方",,
"Bid","买方",,
"Buy order","买方订单ID",,
"Buy user","买方用户ID",,
"Sell order","卖方订单ID",,
"Sell user","卖方用户ID",,
"Variety","交易对",,
"Vareity","交易对",,
"Buy order detail","买方订单明细ID",,
"Sell order detail","卖方订单明细ID",,
"UserDailySum","用户每日交易统计",,
"UserTradFeeConfig","交易费率设置",,
"Variety code","交易对",,
"Fee type","费率类型",,
"Fee amount btc","交易手续费换算BTC",,
"Trade amount btc","交易金额换算BTC",,
"User account","资产账户",,
"Fee desc","手续费具体结算类型",,
"Trading fee","手续费",,
"Stamp duty","印花税费",,
"Transfer fee","过户税费",,
"Other fee","其它费用",,
"AccountAddress","账户/地址",,
"processing","处理中",,
"processingSuccess","处理成功",,
"Processing Failed","处理失败",,
"capital","本金",,
"Freeze","冻结",,
"bonus","奖金",,
"trading fee","交易手续费",,
"To be reviewed","待审核",,
"Review passed","审核成功",,
"Review failed","审核失败",,
"To be reviewed second time","待复审",,
"To be finished","待完成",,
"Charge money","充币",,
"Recharge commission","充值手续费",,
"Mention money","提币",,
"Withdrawal fee","提现手续费",,
"buy","买入",,
"Buying commission","买入手续费",,
"sell","卖出",,
"Selling commission","卖出手续费",,
"borrowing","借款",,
"Loan interest","借款利息",,
"lending","放款",,
"Loan proceeds","放款收益",,
"transfer","转账",,
"Transfer fee","转账手续费",,
"thaw","解冻(交易解冻)",,
"defrost (partial withdrawal)","解冻(部分撤单)",,
"thaw (return of trade)","解冻(交易归还)",,
"defrost (full withdrawal)","解冻(完全撤单)",,
"administrator award","管理员奖励发放",,
"activity award","活动奖励发放",,
"Unfreeze (withdrawal rejected)","解冻(提币驳回)",,
"Trading cashback","交易返现",,
"Transaction cashback deduct capital pool","交易返现扣除资金池",,
"Reward drop","空投奖励",,
"Using bonuses","分红奖励",,
"Initialize the","初始化",,
"Digital","数字货币管理",,
"AwardAudit","奖励发放审核",,
"AwardRecord","奖励记录",,
"StatisticsProfitAudit","分红审核",,
"Operation","审核操作",,
"First Review","初审",,
"Final Review","终审",,
"Asset overview","资产概况",,
"TotalAsset","总资产",,
"CoinAsset","币币账户",,
"MoneyAsset","法币账户",,
"LeverageAsset","杠杆账户",,
"OtcAsset","OTC账户",,
"ContractAsset","合约账户",,
"InCoin","入币",,
"OutCoin","出币",,
"Usable","可用",,
"Fee","手续费",,
"Bonus","分红收入",,
"Reward","奖励收入",,
"Drop","空投收入",,
"Borrow","借币",,
"NotPaidInterest ","未还利息",,
"UsableMargin ","可用保证金",,
"PositionMargin ","持仓保证金",,
"EntrustMargin ","委托保证金",,
"Postscript","附言",,
"ButtonAudit","审核",,
"Audit pass","审核通过",,
"Audit failed","审核不通过",,
"UserInfo","用户详情",,
"AssetAccount","资金账户",,
"InAuditDetails","入币详情",,
"OutAuditDetails","出币详情",,
"Freeze Items","冻结项",,
"Hand out money","手工出币",,
"Freeze Account","冻结账号",,
"Freeze Trade","冻结交易",,
"Freeze Hand Out Coin","冻结提币",,
"StatDate","日期",,
"userCode","用户编号",,
"examineEnabled","审核状态",,
"Profit amount","分红数额(BTC)",,
"Examine time","审核时间",,
"Examine remark","审核备注",,
"Asset Tag Code","资产标签代码",,
"Third party","第三方",,
"Before change","变动资产",,
"Update mills","更新时间戳",,
"Connected account","关联账户",,
"CapitalAccount","资产账户",,
"CapitalFreezeThawWater","冻结解冻流水",,
"CapitalDetail","资产详情",,
"CapitalWater","资金流水",,
"businessCode","资金发生编号",,
"accountType","账户类型",,
"accountCategory","账户分类",,
"accountCode","资金账户code",,
"capitalTag","资产标签",,
"capitalAmount","金额",,
"capitalWaterType","流水类型",,
"capitalWaterAmount","操作金额",,
"sourceId","来源数据ID",,
"inAccountType","入金资金账户类型",,
"outAccountType","出金资金账户类型",,
"inAccountCategory","入金资金账户分类",,
"outAccountCategory","出金资金账户分类",,
"inCapitalDetailId","入金资金明细id",,
"outCapitalDetailId","出金资金明细id",,
"inAccountCode","入金账户code",,
"outAccountCode","出金账户code",,
"outBeforeBalance","出金账户划账前余额",,
"outAfterBalance","出金账户划账后余额",,
"inBeforeBalance","入金账户划账前余额",,
"inAfterBalance","入金账户划账后余额",,
"inTag","入金资产标签",,
"outTag","出金资产标签",,
"rewardType","奖励类型标签",,
"Amount of funds","资金发生额",,
"Hot wallet account (out)","热钱包账户(出)",,
"Hot wallet account (in)","热钱包账户(入)",,
"Cold wallet account","冷钱包账户",,
"The fund account","备用金账户",,
"Income account","收入账户",,
"Dividends account","分红账户",,
"Trade mining accounts","交易挖矿账户",,
"Handling account","手续费账户",,
"Leverage account","杠杆账户",,
"Coin currency account","币币账户",,
"Fund account","基金账户",,
"Account of the contract","合约账户",,
"otc account","otc账户",,
"The wallet account","钱包账户",,
"principal","本金",,
"financing","融资",,
"Financing interest","融资利息",,
"with funding","配资",,
"With a yield","配资收益",,
"reward","奖励",,
"poundage","手续费",,
"locked position","锁仓",,
"Missing parameters, please fill in the whole!","参数缺失,请填写完整！",,,
"Are you sure you want to perform this operation?","确定执行此操作吗？",,
"To be audited","待审核",,
"Audit failure","审核失败",,
"Audit success","审核成功",,
"Already airdrop","已空投",,
"Operation succeeded","操作成功！",,
"Operation failed","操作失败！",,
"AwardAudit","奖励审核",,
"AwardDetails","奖励详情",,
"Audit pass","审核通过",,
"Audit failed","审核不通过",,
"Account Code","账户号",,
"Real Name","真实姓名",,
"Award User Name","用户名",,
"examineTime","审核时间",,
"examineRemark","审核备注",,
"assetAccount","资产账户",,
"Fee Currency","手续费币种",,
"Asset account","资产账户",,
"Gold entry","入金",,
"Out of gold","出金",,
"financialCapitalDetail","资金明细详情",,
"Platform account","平台账户",,
"The user account","用户账户",,
"Third party recharge account","第三方充值记账账户",,
"Fund manager account","基金经理账户",,
"Def","默认",,
"Currency record","提币记录",,
"Money time","提币时间",,
"Amount of money","提币数额",,
"Recharge Wallet","充币钱包",,
"Cash withdrawal Wallet","提币钱包",,
"Wallet Type","钱包类型",,
"PlatformAssets","平台资产状况概览",,
"PlatformIncome","平台收入资产概览",,
"PlatformExpend","平台支出资产概览",,
"RechargeTotalAsset","充币资产总额",,
"VirtualRecharge","虚拟充值",,
"UserAssetsBalance","用户资产结余",,
"ParadropFreeze","空投冻结",,
"WithdrawTotalAsset","提币资产总额",,
"VirtualWithdraw","虚拟提币",,
"AsiaPacificFee","亚太区手续费收入",,
"GlobalFee","全球区手续费收入",,
"OtcFee","OTC交易手续费",,
"LeverFee","杠杆交易手续费",,
"BorrowCoinInterest","借币利息",,
"ContractFee","合约交易手续费",,
"WithdrawFee","提币手续费",,
"WithdrawMinerFeeExpend","提币矿工费支出",,
"RewardExpend","奖励支出",,
"SubBusinessAsset","子业务账户资产",,
"WalletAsset","我的钱包资产",,
"CoinTradeAsset","币币交易资产",,
"ContractTradeAsset","合约交易资产",,
"WalletAvailableAsset","钱包可用资产",,
"WalletFreezeAsset","钱包冻结资产",,
"WalletRewardAsset","钱包奖励资产",,
"CoinAvailableAsset","币币可用资产",,
"CoinFreezeAsset","币币冻结资产",,
"LeverAvailableAsset","杠杆可用资产",,
"LeverFreezeAsset","杠杆冻结资产",,
"LeverLendAsset","杠杆借出资产",,
"ContractAvailableAsset","合约可用资产",,
"ContractFreezeAsset","合约冻结资产",,
"RechargePeople","充币人数",,
"RechargeTimes","充币次数",,
"RechargeTotal","充币总量",,
"WithdrawTimes","提币次数",,
"WithdrawPeople","提币人数",,
"WithdrawTotal","提币总量",,
"ThirdRechargeThreshold","第三方充币到账门槛",,
"ThirdSource","第三方来源",,
"SumCeil","累积自动转入上限",,
"Threshold","预警线（%）",,
"InAddress","入币地址",,
"OutAddress","出币地址",,
"OutAmount","提币数量",,
"ActualAmount","到账数量",,
"ActualAmount","到账数量",,
"ThirdTransferRecord","第三方资产划转记录",,
"UserAccount","用户账户",,
"InOutType","操作类型",,
"ThirdAmount","数量",,
"OperationTime","操作时间",,
"UserType","账号类型",,
"DailyPlatformIncome","日统计平台收入",,
"DailyPlatformExpend","日统计平台支出",,
"DailyRechargeWithdrawCoin","日统计平台提币",,
"Available","可用",,
"PlatformIncomeAccount","平台收入账号列表",,
"Confirmations","确认次数",,
"OutRemark","失败原因",,
"userTotal","用户总数",,
"amountTotal","奖励总数量",,
"activityCode","活动编号",,
"activityName","活动名称",,
"grantAwardAmount","奖励数量",,
"InCreateTime","转入时间",,
"InSource","资产来源",,
"InRemark","转入说明",,
"OutCreateTime","转出时间",,
"OutSource","资金去向",,
"OutRemark","转出说明",,
"AccountInformation","账号信息",,
"incomeTotal","收入统计",,
"expendTotal","支出统计",,
"surplus","结余",,
"Platform revenue and expenditure","平台收支",,
"Platform pipelining","平台流水",,
"Activity list","活动列表",,
"Award details","奖励发放明细",,
"View the platform account revenue and expenditure statistics","查看平台账号收支统计",,
"Check the running statistics of the platform account","查看平台账号流水统计",,
"InMoneyRecord","入币记录",,
"OutMoneyRecord","出币记录",,
"DepositAudit","入币审核",,
"WithdrawFirstAudit","出币初审",,
"WithdrawSecondAudit","出币终审",,
"Exchange","交易所",,
"Transferred","已转入",,

"Leverage","杠杆模块",,
"ApplyLeverage","杠杆融资",,
"Account","杠杆账户",,
"User","用户编号",,
"Capital detail","资金明细",,
"Code","编号",,
"Name","名称",,
"Variety","交易对",,
"Currency","币种",,
"Type","借款类型",,
"ApplyAmount","借款金额",,
"Return amount","已还金额",,
"Paid interest","已还利息",,
"Interest rate","利率",,
"Apply time","申请时间",,
"Return status","归还状态",,
"Cd","创建时间",,
"BadLoans","坏账记录",,
"LendingWater","放贷记录",,
"ReturnLeverage","资金归还记录",,
"Apply code","申请编码",,
"Lending","放贷Id",,
"Interest","利息",,
"Time","还款时间",,
"Days","计息天数",,
"Lending subject profit","放贷人盈利金额",,
"Platform profit","平台盈利金额",,
"Capital detail","资金明细id",,
"LendingAmount","放贷金额",,
"Lending time","放贷时间",,
"Lending subject","放贷人类型",,
"Bad","坏账Id",,
"Direct borrowing","直接借款",,
"Transaction loan","交易借款",,
"Answer information","答题信息",,
"applyId","申请记录ID",,
"Lending ids","放贷ID",,
"Refund id","还款记录ID",,
"Refund amount","还款金额",,
"Refund interest","还款利息",,
"Apply days","借款天数",,
"Refund time","归还时间",,
"Loan return records","放贷归还记录",,
"Score","分数",,
"State","还款状态",,